doc_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
pope_benedict_xiv__quemadmodum_preces,51.397147046834384,-1.798277610249133,-3.586170263248438,-10.084891883329352,-19.478944649657276,-10.74365479546928,6.687511064021232,2.507602686793198,-5.75997725500407,2.520801294255058
pope_benedict_xiv__quod_provinciale,-5.993261544326374,-0.4370943151077074,-10.841035850890526,0.8293957559219811,1.7862959840016588,-0.43078655431428375,0.2718795316113294,0.3474777527664901,0.662979977580152,0.06447433697780071
pope_benedict_xiv__satis_vobis_compertum,75.30551312459629,-7.664448509031366,1.5144886830687907,-8.7940262935362,-25.949666565917326,-22.75603019207245,-14.180506615467236,2.729716157537963,20.228209290542775,-26.900414703321033
pope_benedict_xiv__ubi_primum,-7.649939650442304,-0.6900755051241595,-9.361274125649798,0.7001723905922765,2.5634709363580264,-0.686966884686683,0.08739561925821193,-0.5872360794649575,-0.15095890932021785,-0.17967088051149782
pope_benedict_xiv__vix_pervenit,-8.474151924008995,-1.3772683145998799,-7.879111028017309,0.9423265566348434,2.7429733307212634,-0.5240214765169262,-0.18087957296250406,0.5513750184747396,0.937790898073557,-0.2893986648458377
pope_benedict_xv__ad_beatissimi_apostolorum,-8.56264142817177,-1.6465437552515891,-6.112521522603928,1.095129413019258,3.167313667653245,-0.8958641145756991,-0.5630186855923995,-0.36700128387900055,-1.0077956828492405,-0.41231970883967123
pope_benedict_xv__annus_iam_plenus,-7.496610810833654,-1.266135807880984,-8.161250447115696,1.0211788461185842,2.132688589248883,-0.6047422675090504,0.26207365511475844,-0.859164994015938,-1.1793217889837226,-0.031191525658638225
pope_benedict_xv__fausto_appetente_die,-7.165249481146532,-0.7762973828573477,-9.573717977933358,1.8547331515838712,2.2402541969765704,-0.7866858971068404,0.01696418506657098,-0.7058620364649026,-0.8581714188857688,0.04843554467135898
pope_benedict_xv__humani_generis_redemptionem,-8.169543876266307,-0.7207986438546449,-6.2900236833330565,1.9949775413063082,2.5524899250692723,-0.7812963867905209,-0.3631775139688531,-0.3475691831696164,-0.6948849157234906,-0.19851149673049506
pope_benedict_xv__in_hac_tanta,-7.310904508938115,-1.0336320710882139,-7.258706958676059,0.9280210973962099,1.7710148230417186,-0.26711119104827125,-0.06669049346001822,-0.5492531130390433,-0.4023302583812044,0.03539599582658316
pope_benedict_xv__in_praeclara_summorum,-8.400993925837374,-1.5703300544878576,-4.353137530287301,1.57158645486228,1.9795543768235324,-0.7587283164080174,-0.1675528752542519,-0.19201503947714876,-1.0327606441925077,0.1783437625727108
pope_benedict_xv__pacem__dei_munus_pulcherrimum,-8.81906331648472,-1.9982603251847486,-6.339897580315368,1.0366034203100347,2.751470853166816,-0.8415944674595276,-0.09693802808729333,-1.026167491100912,-0.9229616422553746,-0.16065527100047802
pope_benedict_xv__paterno_iam_diu,-6.620304739177763,-0.9048555977494462,-7.719842253566605,0.6437250031695949,1.565684452607008,-0.30551926361748716,0.34435099100366773,-1.5115533891511375,-0.7993738316581503,0.01663136180282204
pope_benedict_xv__principi_apostolorum_petro,-8.415270547284251,-0.5419322721792472,-8.27073213850041,2.4118580262800307,3.0516254325235703,-0.7239993170440329,-1.2620488341022844,1.978970860009632,0.214186811151326,-0.6959720873712526
pope_benedict_xv__quod_iam_diu,-5.333197890354048,-0.43847455774850613,-7.57712237537691,0.2030617924361761,0.6938224772826838,-0.09612173828912479,0.4181870757688141,-0.9567769121274335,-0.5106923257643919,0.08355349189103578
