term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
abdication,-0.000929790227086493,6.465309683666109e-05,-0.0028999489778059225,0.0005458157849151447,0.0007857027444413917,2.006638060132396e-05,-0.00024096041091372443,0.0012920369731508814,0.0010961635794775897,-0.00022639139112968067
abdicazione,0.008608895546609336,-0.0014178409049019252,0.0018736552874169005,0.0019805658543198645,0.009804272215484165,0.006555121898989695,0.012379434886489,0.0037641161752577966,0.01203946854656621,-0.006927024879492823
abel,-0.0018066307193089408,-0.00137361957413064,0.007542826129969807,-0.001019274390984875,-0.00035947339348389436,7.03701574653955e-05,4.184938023553826e-05,-9.185774871251323e-06,-0.00012555008996002385,-0.00020634080308739035
aberration,-0.0017829259038634909,0.00042340413660059444,0.00268577045873775,0.00028707735621860057,0.0002458730236227488,-5.684345467094165e-05,-0.0009598698433300719,0.0007259288127651481,0.0007985359381676019,0.0007037673921237419
aberrations,-0.0019819164987226363,-0.0009945541010712557,0.0018811754540152175,-0.000147656194676726,0.0007996475518806661,-0.0002763421499915884,-0.00013996221729324523,-0.0002520744695914538,-7.982615468483533e-05,0.0002798012449168681
abet,-0.0009018504243693498,-0.0002171653131198201,-0.002066357153428075,0.0001277486122972232,0.0014405048900491303,3.373783883348185e-05,-0.0003575083603074525,0.0010555643219589575,0.0017096170614985223,-0.0005160438113708369
abetted,-0.0006617687721764555,-0.00024001739095951276,-0.0010274755016044812,0.0002248721540790287,0.0004726878009318515,-0.00016123482856180636,-5.437261630703829e-05,-2.335633650435546e-05,-0.00012711341031436258,-3.114111196961915e-05
abettors,-0.0010046129679403002,-0.0003299726616529975,-0.000642417963762649,0.0002200144138074683,0.0008802530287755961,-0.00014451386962253596,-0.0002102984198102431,-0.00016778335791418436,0.0003420057002642265,-5.758564744965862e-05
abhinc,-0.0005990424661588159,0.0002788134613116427,-0.0006333063641810858,-0.0003641840064854607,-9.806213567809232e-05,0.00015313825975450662,-0.00012784863543349896,0.00022919805049603835,0.0006100629017796791,0.00015705017553486903
abhor,-0.002191847205214421,-0.0006597435150532366,-0.005512031371324939,0.001241634890989096,0.002298093094137896,-0.0007450366935152601,-1.7771742447010145e-05,-0.00024916699427181667,-0.0007002379801518629,-0.0002582972194159239
abhorred,-0.0010706133361585537,-0.00037112224852265676,-0.0017373967809648297,0.0004484112477814999,0.0009981778184983664,-0.0002813771860411545,-8.621616324190226e-05,0.0001428942002525559,-0.00012208714928774755,-0.00010213157169391449
abhorrence,-0.0014473943719362573,-0.0005846551676358931,-0.002612978271130633,0.0007892177770656184,0.001602417812225116,-0.000445646992531605,0.00017459473989331846,-0.0008059096012360078,-0.00025887527662442144,-0.00020149765872656085
abhorrent,-0.0008931176526574784,-0.0002515702528154872,-0.0026649558040679295,0.00038238207587207003,0.000989828084994692,-0.000249044478736577,2.698828379555709e-05,-6.819803963407064e-05,9.391517034380052e-05,-0.00018009756909514375
abhors,-0.0012994695120620973,-0.00032362782469170804,-0.000927592374457089,0.0006330332813927598,0.0010631081801122113,-0.0003719618745564034,-0.0002979060455317004,-6.973286565747207e-06,-0.0005271156330299338,-7.138632386508691e-05
abide,-0.0035162137915056716,-0.0014998296504275903,-0.001619271346815587,0.0009235332154654213,0.0023955949674977135,-0.0005985153418897483,-0.0002764240427697315,-0.00040506944233440395,-0.0005393995126238057,-0.0004700195943093415
abides,-0.002366159401063521,-0.0012516749440247023,0.0039081041428004224,0.00020818485314885453,0.0005910682961862327,-0.0002810436398248146,-0.0002565664888681728,-0.0003331695030310135,-0.0005800743239474435,-0.00020686742559840416
abideth,-0.0011298217782169334,-0.0006461057739671907,0.00034209896145782133,4.1187862845804724e-05,0.0006937748838611365,-0.00022120789935178463,-0.0001593148023932054,-0.00010409416746658344,-0.0004444256567408802,-5.324731025725065e-05
abiding,-0.0026214071236692325,-0.0007145106081965821,-0.0013017594786629426,0.001044287071595259,0.0016565140954075876,-0.0006279902470348577,-0.0002818901188544844,-0.0006314827501504354,-0.0004952019600851789,-9.398999964054196e-05
abilities,-0.002819248463705568,-0.001957100308459283,0.006847189001207412,-0.001336662339125913,0.00027140530282481146,-6.939306618490867e-05,0.0004587096966179787,0.00021210427375948263,-0.00023113083858392755,-0.00010267049223033094
ability,-0.005155800191074881,-0.0025428179281237226,0.010616964014622546,-0.0011459119083176018,0.0007005477517418856,-0.00013553683721826172,-6.043660401611704e-05,0.00026056050875477405,-1.0115582002507866e-05,7.886788948801376e-05
abilità,0.006896180782124568,-0.0012923934556028282,0.0012127166022276603,0.00011335579526179544,-0.0010259965079996635,-0.0035200910210913326,-0.00825731161796712,-0.0017452314023586855,0.006602501352805449,-0.012297855547767276
abitano,0.009528695600517976,-0.00034956346079359507,0.0011207640273618944,0.0006564273075183283,-0.005891193617566547,-0.003960615878126978,-0.011200974995943625,1.2997852645138785e-05,-0.005612360135326434,-0.0014958569496796089
abitanti,0.014954183320343584,-0.001998796739528984,0.002112580881503019,0.0007134092430885941,0.00551606164770035,0.003704290646034007,0.01511982996908299,0.005564861745523278,0.040436582964556496,0.015635935176320392
abitare,0.008125921848341523,-0.00016426178837946232,0.003170828356246407,0.006047153300765289,0.01331475533028762,0.006027394128367962,0.0111523032091118,0.00032014533355045595,0.008006409789769355,-0.002925594365426377
abitazione,0.00957025388681616,-0.0010684278595043675,0.001981678108170397,0.0014565024358819962,0.0003457300169730393,-0.0037351028082682983,-0.013745663987235332,-0.00019639417378458914,-0.0025400169261803676,0.002480194645733478
abitazioni,0.007045163757100167,-0.0011980173494136822,-0.00015594099404219784,-0.0018473977182458844,-0.005093150479705781,-0.0024556985869439944,0.0040500915947263285,0.001711724155024816,0.00016123275845767644,-0.002422226857982088
abiti,0.007730746336801146,-0.0006808289103487125,0.00010940907918154693,-0.0006747902488727839,-0.00438795007293819,-0.003962948818962582,-0.014602871326622005,-0.006602122245654713,-0.003613177495042675,0.03672906891835949
