term_str,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
increase,0.0012583913,0.00011056299,0.00020198619,0.00013590379,0.00068917393,0.00013063944,9.3173054e-05,0.00023672818,2.372051e-05,0.0011741198
age,0.0012553028,1.1879861e-05,1.4679512e-07,0.00091503246,0.0004833398,0.0002727462,0.00045395643,0.00044439797,0.00056729885,0.0002595157
justice,0.0012552377,0.00047421368,0.0027602473,0.00017095146,0.00020649587,0.0006011148,0.000863852,1.584803e-05,0.00020511549,0.0037945572
condition,0.0012537119,4.2493015e-05,0.00024778902,0.0007596532,0.00037281762,0.0005502048,0.00019990974,0.00015000963,0.00013265193,0.0021402165
seem,0.0012494122,4.9694518e-06,7.069344e-06,0.0008100542,2.0055113e-05,0.00043151484,0.00043199735,7.7903824e-05,0.0013916048,0.00067686546
honor,0.0012371842,0.00016506761,9.6632764e-05,5.698529e-05,2.959634e-06,2.4428607e-07,8.1670784e-08,8.964877e-08,8.1315164e-08,5.6903282e-08
another,0.0012339293,0.0013458228,0.00035607957,0.0010558756,0.0007857096,0.00071722653,0.0006232824,0.00018236163,0.0027092064,0.0009816758
force,0.0012270123,0.00026304016,0.00024545004,0.00022751903,0.00016638983,0.000979621,0.000230451,0.00023748001,0.00030780098,0.00138481
apostle,0.001225671,0.0009405682,6.6986405e-07,0.0008516525,0.0027547393,0.00017428114,0.003149758,0.0008522056,9.202478e-05,5.690033e-08
civil,0.0012239065,4.6149373e-07,0.0017495184,1.02409686e-07,2.8140014e-06,0.00045281902,8.217763e-08,0.00042204084,5.0037197e-06,0.00070460356
already,0.0012191731,0.00096042233,0.0006503442,0.0014109146,0.0006744348,0.0008823324,0.00070464314,0.00024223942,0.00049451436,0.0007602668
receive,0.0012165314,0.00017908485,0.0019674147,0.0012632067,0.0021538257,0.0017507349,0.002113347,0.0007190356,0.0013316292,0.00019391013
perfect,0.0012010062,0.00014191942,2.4699155e-05,0.0010203263,0.00029182434,7.98737e-06,0.00036057853,1.962034e-05,6.676219e-05,2.5216846e-06
year,0.0011986672,0.0010678396,0.002911529,0.0006546108,0.0010585539,0.003991011,0.0026080427,0.0082233865,0.00071307144,0.0023123866
common,0.0011956636,0.0046608816,0.0020891754,0.00045567082,0.00066781393,0.0006977757,3.282944e-05,0.00032013515,0.000113347356,0.0036503004
zeal,0.0011906445,5.365291e-07,1.6218557e-07,9.6903975e-08,0.001031029,9.80716e-06,6.1237427e-07,0.00032403873,8.728537e-06,5.690025e-08
exercise,0.0011872501,1.1098706e-05,0.00021588088,0.00037733675,0.0009935019,0.0025463297,3.4447516e-05,2.5487529e-05,4.701902e-05,0.0006185138
bishop,0.0011824552,0.00085154054,0.0014654122,9.566086e-05,0.009301238,0.010172555,0.00010543942,0.0019940624,0.0003566618,1.2111561e-05
