pope_label,pope_card_url,pope_slug,pope_home_url
Nicholas IV 22.II.1288 4.IV.1292,https://www.vatican.va/content/vatican/en/holy-father/niccolo-iv.html,nicholas-iv,https://www.vatican.va/content/nicholas-iv/en.html
"Honorius IV 2.IV, 20.V.1285 3.IV.1287",https://www.vatican.va/content/vatican/en/holy-father/onorio-iv.html,honorius-iv,https://www.vatican.va/content/honorius-iv/en.html
"Martin IV 22.II,23.III.1281 29.III.1285",https://www.vatican.va/content/vatican/en/holy-father/martino-iv.html,martin-iv,https://www.vatican.va/content/martin-iv/en.html
"Nicholas III 25.XI, 26.XII.1277 22.VIII.1280",https://www.vatican.va/content/vatican/en/holy-father/niccolo-iii.html,nicholas-iii,https://www.vatican.va/content/nicholas-iii/en.html
"John XXI 16,20.IX.1276 20.V.1277",https://www.vatican.va/content/vatican/en/holy-father/giovanni-xxi.html,john-xxi,https://www.vatican.va/content/john-xxi/en.html
Adrian V 11.VII.1276 18.VIII.1276,https://www.vatican.va/content/vatican/en/holy-father/adriano-v.html,adrian-v,https://www.vatican.va/content/adrian-v/en.html
"Innocent V 21.I,22.II.1276 22.VI.1276",https://www.vatican.va/content/vatican/en/holy-father/innocenzo-v.html,innocent-v,https://www.vatican.va/content/innocent-v/en.html
"Gregory X 1.IX.1271,27.III.1272 10.I.1276",https://www.vatican.va/content/vatican/en/holy-father/gregorio-x.html,gregory-x,https://www.vatican.va/content/gregory-x/en.html
"Clement IV 5,22.II.1265 29.XI.1268",https://www.vatican.va/content/vatican/en/holy-father/clemente-iv.html,clement-iv,https://www.vatican.va/content/clement-iv/en.html
"Alexander IV 12,20.XII.1254 25.V.1261",https://www.vatican.va/content/vatican/en/holy-father/alessandro-iv.html,alexander-iv,https://www.vatican.va/content/alexander-iv/en.html
"Celestine IV 25,28.X.1241 10.XI.1241",https://www.vatican.va/content/vatican/en/holy-father/celestino-iv.html,celestine-iv,https://www.vatican.va/content/celestine-iv/en.html
"Honorius III 18,24.VII.1216 18.III.1227",https://www.vatican.va/content/vatican/en/holy-father/onorio-iii.html,honorius-iii,https://www.vatican.va/content/honorius-iii/en.html
"Innocent III 8.I,22.II.1198 16.VII.1216",https://www.vatican.va/content/vatican/en/holy-father/innocenzo-iii.html,innocent-iii,https://www.vatican.va/content/innocent-iii/en.html
"Celestine III 10,14.IV.1191 8.I.1198",https://www.vatican.va/content/vatican/en/holy-father/celestino-iii.html,celestine-iii,https://www.vatican.va/content/celestine-iii/en.html
"Clement III 19,20.XII.1187 ...III.1191",https://www.vatican.va/content/vatican/en/holy-father/clemente-iii.html,clement-iii,https://www.vatican.va/content/clement-iii/en.html
Gregory VIII 21.25.X.1187 17.XII.1187,https://www.vatican.va/content/vatican/en/holy-father/gregorio-viii.html,gregory-viii,https://www.vatican.va/content/gregory-viii/en.html
"Urban III 25.XI,1.XII.1185 20.X.1187",https://www.vatican.va/content/vatican/en/holy-father/urbano-iii.html,urban-iii,https://www.vatican.va/content/urban-iii/en.html
Lucius III 1. 6.IX.1181 25.IX.1185,https://www.vatican.va/content/vatican/en/holy-father/lucio-iii.html,lucius-iii,https://www.vatican.va/content/lucius-iii/en.html
