doc_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
pope_benedict_xiv__libentissime_quidem,3.3112835135706125e-05,3.311287358507173e-05,3.3112867954182855e-05,3.3112732231595335e-05,3.3112790241968004e-05,0.9997019841459743,3.311291221114805e-05,3.311274740736667e-05,3.311317784481996e-05,3.311291741376546e-05
pope_benedict_xiv__magnae_nobis,0.16250671990034898,8.978676927511548e-05,8.979111135982754e-05,8.978652135490225e-05,0.23877434121386848,8.981361668156428e-05,0.07628414396978142,8.978443082255343e-05,8.978570851434867e-05,0.5218960467579928
pope_benedict_xiv__magno_cum_animi,2.0442075743040836e-05,2.0441917128878473e-05,2.044190974976853e-05,2.0441719198917346e-05,2.0441984573324345e-05,0.9998160231038877,2.0441820108060184e-05,2.0441757948292365e-05,2.044172830071228e-05,2.0441983361208285e-05
pope_benedict_xiv__nimiam_licentiam,0.15619942557204194,0.00010032184981294239,0.00010032593642357745,0.00010032445810987631,0.21397306176391798,0.00010030156505107474,0.1049233521412074,0.00010032725116215718,0.00010032373883319358,0.5243022357234398
pope_benedict_xiv__non_ambigimus,0.00015649502962735549,0.00015649531315182976,0.00015649488838533442,0.00015649527112905168,0.0001564953443820478,0.9985915438935359,0.00015649521212382657,0.000156495158144897,0.00015649497308201267,0.00015649491643780124
pope_benedict_xiv__officii_nostri,3.529872647920079e-05,3.529854720601558e-05,3.529858321211334e-05,3.5298531133752695e-05,3.529887829671727e-05,0.9996823119421955,3.5298625948726994e-05,3.529910434796859e-05,3.529840011491297e-05,3.529866106520966e-05
pope_benedict_xiv__peregrinantes,8.470199863927072e-05,8.469673065415348e-05,8.469722758012878e-05,0.047827104465574664,8.469568198881442e-05,8.467433484882927e-05,0.5609847720114631,0.19549933701063105,8.469724708058783e-05,0.19518062329153957
pope_benedict_xiv__pro_eximia_tua,0.0003663017116748339,0.00036630066818120103,0.00036630093967535496,0.00036630119334703275,0.00036630059947110195,0.9967032904345171,0.000366300856926855,0.0003663011134196515,0.0003663007552270138,0.00036630172755992905
pope_benedict_xiv__prodiit_jamdudum,7.627916344420192e-05,7.627826200135356e-05,7.627829644901486e-05,7.627823684882299e-05,7.627798482872638e-05,0.9993134948393676,7.627831564206144e-05,7.62783003892039e-05,7.627826596924259e-05,7.627833505977405e-05
pope_benedict_xiv__providas_romanorum,7.435051999826918e-05,7.43516565369397e-05,7.435120060522694e-05,7.435031427169094e-05,7.435108738914595e-05,0.999330842691407,7.435068061065378e-05,7.435082989594452e-05,7.434991864452891e-05,7.435110064050038e-05
