term_str,doc_id
labor,vatican__john-paul-ii__en__speeches_1991_october_documents_hf_jp_ii_spe_19911010_sacerdoti_statunitensi_html
labor,vatican__john-paul-ii__en__speeches_1993_july_documents_hf_jp_ii_spe_19930702_ad_limina_usa_6_html
labor,vatican__john-paul-ii__en__speeches_1993_may_documents_hf_jp_ii_spe_19930522_filippini_immigrati_html
labor,vatican__john-paul-ii__en__speeches_1995_february_documents_hf_jp_ii_spe_19950225_giappone_ad_limina_html
labor,vatican__john-paul-ii__en__speeches_1998_october_documents_hf_jp_ii_spe_19981017_ad_limina_usa_3_html
labor,vatican__john-paul-ii__en__speeches_1998_october_documents_hf_jp_ii_spe_19981024_ad_limina_usa_html
labor,vatican__john-paul-ii__en__speeches_2001_march_documents_hf_jp_ii_spe_20010331_japan_ad_limina_html
labor,vatican__john-xxiii__en__encyclicals_documents_hf_j_xxiii_enc_11041963_pacem_html
labor,vatican__john-xxiii__en__encyclicals_documents_hf_j_xxiii_enc_15051961_mater_html
labor,vatican__john-xxiii__en__encyclicals_documents_hf_j_xxiii_enc_19590801_sacerdotii_html
labor,vatican__john-xxiii__en__encyclicals_documents_hf_j_xxiii_enc_28111959_princeps_html
labor,vatican__john-xxiii__en__encyclicals_documents_hf_j_xxiii_enc_29061959_ad_petri_html
labor,vatican__john-xxiii__en__messages_pont_messages_1959_documents_hf_j_xxiii_mes_19591223_christmas_html
labor,vatican__john-xxiii__en__speeches_1959_documents_hf_j_xxiii_spe_19591223_christmas_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_01051894_inter_graves_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_02071894_litteras_a_vobis_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_02091893_constanti_hungarorum_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_04081879_aeterni_patris_html
