term_str,pre_mean,post_mean
albano,1.1814455198527812e-06,0.0
albeit,1.4983043707194831e-05,7.177732077417595e-05
albert,2.680227729519218e-05,1.579756846012054e-06
alberto,0.0,1.0789219509378721e-05
alcohol,1.06543131772908e-05,6.295584750482449e-06
alcoholism,0.0,2.857318921334433e-06
aldo,0.0,0.0
alert,2.789746678638225e-05,3.509746656510029e-05
alessandro,1.4430176196454682e-06,0.0
alexander,0.0002322751394881098,8.506892214259464e-06
alexandria,9.470109153228945e-05,4.053031270916727e-05
alfonso,8.944032002416728e-05,4.336078971058621e-05
algeria,0.0,0.0
algorithms,0.0,3.521899607291605e-06
ali,0.0,1.4182439924765028e-06
alibi,0.0,2.1996574263345943e-05
alien,4.582034006097231e-05,3.9130114061722124e-05
alienate,2.8168998089073926e-05,9.72384429668482e-06
alienated,2.3001406657355222e-05,3.3466135629945535e-05
alienating,9.72807024859324e-06,7.431484037691394e-06
alienation,7.068834238816992e-06,4.173987555249144e-05
alighieri,4.0975510131465336e-05,1.2818190235126991e-05
alight,5.303955680091985e-06,1.7702179264030562e-06
alike,0.00015275601678894205,4.667535060650032e-05
alive,5.595358644503258e-05,9.280703675314352e-05
alla,8.193480527490041e-07,5.651525122105075e-06
alle,0.0,0.0
alleged,8.530071686616269e-05,4.105390844657813e-05
allegiance,8.124182398436458e-05,3.7350487186091197e-06
allegory,0.0,2.2067651002699255e-06
alleluia,0.0,3.7180088094100665e-05
alleviate,3.774762804693692e-05,7.2289327129721495e-06
alleviated,2.877269448807116e-05,3.329750983679587e-06
alleviating,1.4089321149829562e-05,6.833142857255728e-06
alleviation,4.5217504909570585e-05,0.0
alliance,5.5016990140155985e-05,1.019143193057891e-05
alliances,1.8658539969307103e-06,0.0
allied,2.844285818915324e-05,3.106616858985701e-06
allies,1.471127287270621e-05,4.190699316062042e-06
allocated,1.5251443768944535e-06,5.187827168164745e-06
allocation,0.0,0.0
allocutio,0.0,0.0
allocution,0.0002285122938556494,1.629680617345219e-05
